form	wsafter	testid	anas	lemma	xpostag	separated	previd	prevold	prevclosest
aki	" "	.	[{"lemma": "aki", "tag": "[/N|Pro|Rel][Nom]", "morphana": "aki[/N|Pro|Rel]=aki+[Nom]=", "readable": "aki[/N|Pro|Rel] + [Nom]", "twolevel": "a:a k:k i:i :[/N|Pro|Rel] :[Nom]"}]	aki	[/N|Pro|Rel][Nom]			.	.
azon	" "	.	[{"lemma": "az", "tag": "[/Det|Pro][Supe]", "morphana": "az[/Det|Pro]=az+on[Supe]=on", "readable": "az[/Det|Pro] + on[Supe]", "twolevel": "a:a z:z :[/Det|Pro] o:o n:n :[Supe]"}, {"lemma": "az", "tag": "[/N|Pro][Supe]", "morphana": "az[/N|Pro]=az+on[Supe]=on", "readable": "az[/N|Pro] + on[Supe]", "twolevel": "a:a z:z :[/N|Pro] o:o n:n :[Supe]"}, {"lemma": "azon", "tag": "[/Det|Pro|def]", "morphana": "azon[/Det|Pro|def]=azon", "readable": "azon[/Det|Pro|def]", "twolevel": "a:a z:z o:o n:n :[/Det|Pro|def]"}]	azon	[/Det|Pro|def]			.	.
nyomban	" "	.	[{"lemma": "nyom", "tag": "[/N][Ine]", "morphana": "nyom[/N]=nyom+ban[Ine]=ban", "readable": "nyom[/N] + ban[Ine]", "twolevel": "n:n y:y o:o m:m :[/N] b:b a:a n:n :[Ine]"}, {"lemma": "nyomban", "tag": "[/Adv]", "morphana": "nyomban[/Adv]=nyomban", "readable": "nyomban[/Adv]", "twolevel": "n:n y:y o:o m:m b:b a:a n:n :[/Adv]"}]	nyomban	[/Adv]			.	.
le	" "	p122	[{"lemma": "le", "tag": "[/Prev]", "morphana": "le[/Prev]=le", "readable": "le[/Prev]", "twolevel": "l:l e:e :[/Prev]"}, {"lemma": "le", "tag": "[/X]", "morphana": "le[/X]=le", "readable": "le[/X]", "twolevel": "l:l e:e :[/X]"}]		[/Prev]	conn	119	126	140
is	" "	.	[{"lemma": "is", "tag": "[/Adv]", "morphana": "is[/Adv]=is", "readable": "is[/Adv]", "twolevel": "i:i s:s :[/Adv]"}]	is	[/Adv]			.	.
köszönt	" "	v122	[{"lemma": "köszön", "tag": "[/V][Pst.NDef.3Sg]", "morphana": "köszön[/V]=köszön+t[Pst.NDef.3Sg]=t", "readable": "köszön[/V] + t[Pst.NDef.3Sg]", "twolevel": "k:k ö:ö s:s z:z ö:ö n:n :[/V] t:t :[Pst.NDef.3Sg]"}, {"lemma": "köszönt", "tag": "[/Adj][Nom]", "morphana": "köszön[/V]=köszön+t[_PerfPtcp/Adj]=t+[Nom]=", "readable": "köszön[/V] + t[_PerfPtcp/Adj] + [Nom]", "twolevel": "k:k ö:ö s:s z:z ö:ö n:n :[/V] t:t :[_PerfPtcp/Adj] :[Nom]"}, {"lemma": "köszönt", "tag": "[/V][Prs.NDef.3Sg]", "morphana": "köszönt[/V]=köszönt+[Prs.NDef.3Sg]=", "readable": "köszönt[/V] + [Prs.NDef.3Sg]", "twolevel": "k:k ö:ö s:s z:z ö:ö n:n t:t :[/V] :[Prs.NDef.3Sg]"}]	lek�sz�n	[/Prev][/V][Pst.NDef.3Sg]	sep	119	126	140
a	" "	.	[{"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]			.	.
tisztéről	""	.	[{"lemma": "tiszt", "tag": "[/N][Poss.3Sg][Del]", "morphana": "tiszt[/N]=tiszt+e[Poss.3Sg]=é+ről[Del]=ről", "readable": "tiszt[/N] + e[Poss.3Sg]=é + ről[Del]", "twolevel": "t:t i:i s:s z:z t:t :[/N] é:e :[Poss.3Sg] r:r ő:ő l:l :[Del]"}, {"lemma": "tiszt", "tag": "[/N][AnP][Del]", "morphana": "tiszt[/N]=tiszt+é[AnP]=é+ről[Del]=ről", "readable": "tiszt[/N] + é[AnP] + ről[Del]", "twolevel": "t:t i:i s:s z:z t:t :[/N] é:é :[AnP] r:r ő:ő l:l :[Del]"}]	tiszt	[/N][Poss.3Sg][Del]			.	.
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]			.	.
mihelyst	" "	.	[{"lemma": "mihelyst", "tag": "[/Adv|Pro|Rel]", "morphana": "mihelyst[/Adv|Pro|Rel]=mihelyst", "readable": "mihelyst[/Adv|Pro|Rel]", "twolevel": "m:m i:i h:h e:e l:l y:y s:s t:t :[/Adv|Pro|Rel]"}]	mihelyst	[/Adv|Pro|Rel]			.	.
megszűnt	" "	.	[{"lemma": "megszűnik", "tag": "[/V][Pst.NDef.3Sg]", "morphana": "meg[/Prev]=meg+szűnik[/V]=szűn+t[Pst.NDef.3Sg]=t", "readable": "meg[/Prev] + szűnik[/V]=szűn + t[Pst.NDef.3Sg]", "twolevel": "m:m e:e g:g :[/Prev] s:s z:z ű:ű n:n :i :k :[/V] t:t :[Pst.NDef.3Sg]"}, {"lemma": "megszűnt", "tag": "[/Adj][Nom]", "morphana": "meg[/Prev]=meg+szűnik[/V]=szűn+t[_PerfPtcp/Adj]=t+[Nom]=", "readable": "meg[/Prev] + szűnik[/V]=szűn + t[_PerfPtcp/Adj] + [Nom]", "twolevel": "m:m e:e g:g :[/Prev] s:s z:z ű:ű n:n :i :k :[/V] t:t :[_PerfPtcp/Adj] :[Nom]"}]	megszűnik	[/Prev][/V][Pst.NDef.3Sg]	pfx		.	.
a	" "	.	[{"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]			.	.
szükségállapot	" "	.	[{"lemma": "szükségállapot", "tag": "[/N][Nom]", "morphana": "szükség[/N]=szükség+állapot[/N]=állapot+[Nom]=", "readable": "szükség[/N] + állapot[/N] + [Nom]", "twolevel": "s:s z:z ü:ü k:k s:s é:é g:g :[/N] á:á l:l l:l a:a p:p o:o t:t :[/N] :[Nom]"}]	szükségállapot	[/N][Nom]			.	.
vagy	" "	.	[{"lemma": "vagy", "tag": "[/Adv]", "morphana": "vagy[/Adv]=vagy", "readable": "vagy[/Adv]", "twolevel": "v:v a:a g:g y:y :[/Adv]"}, {"lemma": "vagy", "tag": "[/Cnj]", "morphana": "vagy[/Cnj]=vagy", "readable": "vagy[/Cnj]", "twolevel": "v:v a:a g:g y:y :[/Cnj]"}, {"lemma": "van", "tag": "[/V][Prs.NDef.2Sg]", "morphana": "van[/V]=vagy+[Prs.NDef.2Sg]=", "readable": "van[/V]=vagy + [Prs.NDef.2Sg]", "twolevel": "v:v a:a g:n y: :[/V] :[Prs.NDef.2Sg]"}]	vagy	[/Cnj]			.	.
megoldódott	" "	.	[{"lemma": "megoldódik", "tag": "[/V][Pst.NDef.3Sg]", "morphana": "meg[/Prev]=meg+old[/V]=old+ódik[_MedPass/V]=ód+ott[Pst.NDef.3Sg]=ott", "readable": "meg[/Prev] + old[/V] + ódik[_MedPass/V]=ód + ott[Pst.NDef.3Sg]", "twolevel": "m:m e:e g:g :[/Prev] o:o l:l d:d :[/V] ó:ó d:d :i :k :[_MedPass/V] o:o t:t t:t :[Pst.NDef.3Sg]"}, {"lemma": "megoldódott", "tag": "[/Adj][Nom]", "morphana": "meg[/Prev]=meg+old[/V]=old+ódik[_MedPass/V]=ód+ott[_PerfPtcp/Adj]=ott+[Nom]=", "readable": "meg[/Prev] + old[/V] + ódik[_MedPass/V]=ód + ott[_PerfPtcp/Adj] + [Nom]", "twolevel": "m:m e:e g:g :[/Prev] o:o l:l d:d :[/V] ó:ó d:d :i :k :[_MedPass/V] o:o t:t t:t :[_PerfPtcp/Adj] :[Nom]"}, {"lemma": "megoldódik", "tag": "[/V][Pst.NDef.3Sg]", "morphana": "meg[/Prev]=meg+oldódik[/V]=oldód+ott[Pst.NDef.3Sg]=ott", "readable": "meg[/Prev] + oldódik[/V]=oldód + ott[Pst.NDef.3Sg]", "twolevel": "m:m e:e g:g :[/Prev] o:o l:l d:d ó:ó d:d :i :k :[/V] o:o t:t t:t :[Pst.NDef.3Sg]"}, {"lemma": "megoldódott", "tag": "[/Adj][Nom]", "morphana": "meg[/Prev]=meg+oldódik[/V]=oldód+ott[_PerfPtcp/Adj]=ott+[Nom]=", "readable": "meg[/Prev] + oldódik[/V]=oldód + ott[_PerfPtcp/Adj] + [Nom]", "twolevel": "m:m e:e g:g :[/Prev] o:o l:l d:d ó:ó d:d :i :k :[/V] o:o t:t t:t :[_PerfPtcp/Adj] :[Nom]"}]	megoldódik	[/Prev][/V][Pst.NDef.3Sg]	pfx		.	.
a	" "	.	[{"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]			.	.
viszály	""	.	[{"lemma": "viszály", "tag": "[/N][Nom]", "morphana": "viszály[/N]=viszály+[Nom]=", "readable": "viszály[/N] + [Nom]", "twolevel": "v:v i:i s:s z:z á:á l:l y:y :[/N] :[Nom]"}]	viszály	[/N][Nom]			.	.
.	"\r\n"	.	[{"lemma": ".", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	.	[Punct]			.	.

Ott	" "	.	[{"lemma": "ott", "tag": "[/Adv|Pro]", "morphana": "ott[/Adv|Pro]=ott", "readable": "ott[/Adv|Pro]", "twolevel": "o:o t:t t:t :[/Adv|Pro]"}, {"lemma": "ott", "tag": "[/Prev]", "morphana": "ott[/Prev]=ott", "readable": "ott[/Prev]", "twolevel": "o:o t:t t:t :[/Prev]"}]	ott	[/Adv|Pro]			.	.
az	" "	.	[{"lemma": "az", "tag": "[/Det|Art.Def]", "morphana": "az[/Det|Art.Def]=az", "readable": "az[/Det|Art.Def]", "twolevel": "a:a z:z :[/Det|Art.Def]"}, {"lemma": "az", "tag": "[/Det|Pro][Nom]", "morphana": "az[/Det|Pro]=az+[Nom]=", "readable": "az[/Det|Pro] + [Nom]", "twolevel": "a:a z:z :[/Det|Pro] :[Nom]"}, {"lemma": "az", "tag": "[/N|Pro][Nom]", "morphana": "az[/N|Pro]=az+[Nom]=", "readable": "az[/N|Pro] + [Nom]", "twolevel": "a:a z:z :[/N|Pro] :[Nom]"}]	az	[/Det|Art.Def]			.	.
ajtó	""	.	[{"lemma": "ajtó", "tag": "[/N][Nom]", "morphana": "ajtó[/N]=ajtó+[Nom]=", "readable": "ajtó[/N] + [Nom]", "twolevel": "a:a j:j t:t ó:ó :[/N] :[Nom]"}]	ajtó	[/N][Nom]			.	.
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]			.	.
a	" "	.	[{"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]			.	.
hallba	" "	.	[{"lemma": "hall", "tag": "[/N][Ill]", "morphana": "hall[/N]=hall+ba[Ill]=ba", "readable": "hall[/N] + ba[Ill]", "twolevel": "h:h a:a l:l l:l :[/N] b:b a:a :[Ill]"}]	hall	[/N][Ill]			.	.
nyílik	""	.	[{"lemma": "nyílik", "tag": "[/V][Prs.NDef.3Sg]", "morphana": "nyílik[/V]=nyíl+ik[Prs.NDef.3Sg]=ik", "readable": "nyílik[/V]=nyíl + ik[Prs.NDef.3Sg]", "twolevel": "n:n y:y í:í l:l :i :k :[/V] i:i k:k :[Prs.NDef.3Sg]"}]	nyílik	[/V][Prs.NDef.3Sg]			127	141
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]			.	.
ki	" "	p123	[{"lemma": "aki", "tag": "[/N|Pro|Rel][Nom]", "morphana": "aki[/N|Pro|Rel]=ki+[Nom]=", "readable": "aki[/N|Pro|Rel]=ki + [Nom]", "twolevel": "k:a i:k :i :[/N|Pro|Rel] :[Nom]"}, {"lemma": "ki", "tag": "[/N|Pro][Nom]", "morphana": "ki[/N|Pro]=ki+[Nom]=", "readable": "ki[/N|Pro] + [Nom]", "twolevel": "k:k i:i :[/N|Pro] :[Nom]"}, {"lemma": "ki", "tag": "[/N|Pro|Int][Nom]", "morphana": "ki[/N|Pro|Int]=ki+[Nom]=", "readable": "ki[/N|Pro|Int] + [Nom]", "twolevel": "k:k i:i :[/N|Pro|Int] :[Nom]"}, {"lemma": "ki", "tag": "[/Prev]", "morphana": "ki[/Prev]=ki", "readable": "ki[/Prev]", "twolevel": "k:k i:i :[/Prev]"}]		[/Prev]	conn	120	128	141
kell	" "	.	[{"lemma": "kell", "tag": "[/V][Prs.NDef.3Sg]", "morphana": "kell[/V]=kell+[Prs.NDef.3Sg]=", "readable": "kell[/V] + [Prs.NDef.3Sg]", "twolevel": "k:k e:e l:l l:l :[/V] :[Prs.NDef.3Sg]"}]	kell	[/V][Prs.NDef.3Sg]			.	.
nyitni	""	v123	[{"lemma": "nyit", "tag": "[/V][Inf]", "morphana": "nyit[/V]=nyit+ni[Inf]=ni", "readable": "nyit[/V] + ni[Inf]", "twolevel": "n:n y:y i:i t:t :[/V] n:n i:i :[Inf]"}]	kinyit	[/Prev][/V][Inf]	sep	120	128	.
.	"\r\n"	.	[{"lemma": ".", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	.	[Punct]			.	.

De	" "	.	[{"lemma": "de", "tag": "[/Adv]", "morphana": "de[/Adv]=de", "readable": "de[/Adv]", "twolevel": "d:d e:e :[/Adv]"}, {"lemma": "de", "tag": "[/Cnj]", "morphana": "de[/Cnj]=de", "readable": "de[/Cnj]", "twolevel": "d:d e:e :[/Cnj]"}, {"lemma": "de", "tag": "[/X]", "morphana": "de[/X]=de", "readable": "de[/X]", "twolevel": "d:d e:e :[/X]"}]	de	[/Cnj]			.	.
hiszen	" "	.	[{"lemma": "hisz", "tag": "[/N][Supe]", "morphana": "hisz[/N]=hisz+en[Supe]=en", "readable": "hisz[/N] + en[Supe]", "twolevel": "h:h i:i s:s z:z :[/N] e:e n:n :[Supe]"}, {"lemma": "hiszen", "tag": "[/Cnj]", "morphana": "hiszen[/Cnj]=hiszen", "readable": "hiszen[/Cnj]", "twolevel": "h:h i:i s:s z:z e:e n:n :[/Cnj]"}]	hiszen	[/Cnj]			.	.
ez	" "	.	[{"lemma": "ez", "tag": "[/Det|Pro][Nom]", "morphana": "ez[/Det|Pro]=ez+[Nom]=", "readable": "ez[/Det|Pro] + [Nom]", "twolevel": "e:e z:z :[/Det|Pro] :[Nom]"}, {"lemma": "ez", "tag": "[/N|Pro][Nom]", "morphana": "ez[/N|Pro]=ez+[Nom]=", "readable": "ez[/N|Pro] + [Nom]", "twolevel": "e:e z:z :[/N|Pro] :[Nom]"}]	ez	[/Det|Pro][Nom]			.	.
meg	" "	p124	[{"lemma": "meg", "tag": "[/Cnj]", "morphana": "meg[/Cnj]=meg", "readable": "meg[/Cnj]", "twolevel": "m:m e:e g:g :[/Cnj]"}, {"lemma": "meg", "tag": "[/Prev]", "morphana": "meg[/Prev]=meg", "readable": "meg[/Prev]", "twolevel": "m:m e:e g:g :[/Prev]"}]		[/Prev]	conn	121	129	142
van	" "	.	[{"lemma": "van", "tag": "[/V][Prs.NDef.3Sg]", "morphana": "van[/V]=van+[Prs.NDef.3Sg]=", "readable": "van[/V] + [Prs.NDef.3Sg]", "twolevel": "v:v a:a n:n :[/V] :[Prs.NDef.3Sg]"}]	van	[/V][Prs.NDef.3Sg]			.	.
repedve	""	v124	[{"lemma": "reped", "tag": "[/V][_AdvPtcp/Adv]", "morphana": "reped[/V]=reped+ve[_AdvPtcp/Adv]=ve", "readable": "reped[/V] + ve[_AdvPtcp/Adv]", "twolevel": "r:r e:e p:p e:e d:d :[/V] v:v e:e :[_AdvPtcp/Adv]"}]	megreped	[/Prev][/V][_AdvPtcp/Adv]	sep	121	129	142
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]			.	.
folyik	" "	.	[{"lemma": "folyik", "tag": "[/V][Prs.NDef.3Sg]", "morphana": "folyik[/V]=foly+ik[Prs.NDef.3Sg]=ik", "readable": "folyik[/V]=foly + ik[Prs.NDef.3Sg]", "twolevel": "f:f o:o l:l y:y :i :k :[/V] i:i k:k :[Prs.NDef.3Sg]"}]	folyik	[/V][Prs.NDef.3Sg]			.	.
a	" "	.	[{"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]			.	.
petróleum	""	.	[{"lemma": "petróleum", "tag": "[/N][Nom]", "morphana": "petróleum[/N]=petróleum+[Nom]=", "readable": "petróleum[/N] + [Nom]", "twolevel": "p:p e:e t:t r:r ó:ó l:l e:e u:u m:m :[/N] :[Nom]"}]	petróleum	[/N][Nom]			.	.
.	"\r\n"	.	[{"lemma": ".", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	.	[Punct]			.	.

Nem	" "	.	[{"lemma": "nem", "tag": "[/Adv]", "morphana": "nem[/Adv]=nem", "readable": "nem[/Adv]", "twolevel": "n:n e:e m:m :[/Adv]"}, {"lemma": "nem", "tag": "[/Inj-Utt]", "morphana": "nem[/Inj-Utt]=nem", "readable": "nem[/Inj-Utt]", "twolevel": "n:n e:e m:m :[/Inj-Utt]"}, {"lemma": "nem", "tag": "[/N][Nom]", "morphana": "nem[/N]=nem+[Nom]=", "readable": "nem[/N] + [Nom]", "twolevel": "n:n e:e m:m :[/N] :[Nom]"}]	nem	[/Adv]			.	.
akarom	""	.	[{"lemma": "akar", "tag": "[/V][Prs.Def.1Sg]", "morphana": "akar[/V]=akar+om[Prs.Def.1Sg]=om", "readable": "akar[/V] + om[Prs.Def.1Sg]", "twolevel": "a:a k:k a:a r:r :[/V] o:o m:m :[Prs.Def.1Sg]"}]	akar	[/V][Prs.Def.1Sg]			.	.
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]			.	.
hogy	" "	.	[{"lemma": "ahogy", "tag": "[/Adv|Pro|Rel]", "morphana": "ahogy[/Adv|Pro|Rel]=hogy", "readable": "ahogy[/Adv|Pro|Rel]=hogy", "twolevel": "h:a o:h g:o y:g :y :[/Adv|Pro|Rel]"}, {"lemma": "hogy", "tag": "[/Adv|Pro|Int]", "morphana": "hogy[/Adv|Pro|Int]=hogy", "readable": "hogy[/Adv|Pro|Int]", "twolevel": "h:h o:o g:g y:y :[/Adv|Pro|Int]"}, {"lemma": "hogy", "tag": "[/Cnj]", "morphana": "hogy[/Cnj]=hogy", "readable": "hogy[/Cnj]", "twolevel": "h:h o:o g:g y:y :[/Cnj]"}]	hogy	[/Cnj]			.	.
azt	" "	.	[{"lemma": "az", "tag": "[/Det|Pro][Acc]", "morphana": "az[/Det|Pro]=az+t[Acc]=t", "readable": "az[/Det|Pro] + t[Acc]", "twolevel": "a:a z:z :[/Det|Pro] t:t :[Acc]"}, {"lemma": "az", "tag": "[/N|Pro][Acc]", "morphana": "az[/N|Pro]=az+t[Acc]=t", "readable": "az[/N|Pro] + t[Acc]", "twolevel": "a:a z:z :[/N|Pro] t:t :[Acc]"}]	az	[/Det|Pro][Acc]			.	.
higgye	""	.	[{"lemma": "hisz", "tag": "[/V][Sbjv.Def.3Sg]", "morphana": "hisz[/V]=hig+gye[Sbjv.Def.3Sg]=gye", "readable": "hisz[/V]=hig + gye[Sbjv.Def.3Sg]", "twolevel": "h:h i:i g:s :z :[/V] g:g y:y e:e :[Sbjv.Def.3Sg]"}]	hisz	[/V][Sbjv.Def.3Sg]			.	.
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]			.	.
valami	" "	.	[{"lemma": "valami", "tag": "[/Det|Pro]", "morphana": "valami[/Det|Pro]=valami", "readable": "valami[/Det|Pro]", "twolevel": "v:v a:a l:l a:a m:m i:i :[/Det|Pro]"}, {"lemma": "valami", "tag": "[/N][Nom]", "morphana": "valami[/N]=valami+[Nom]=", "readable": "valami[/N] + [Nom]", "twolevel": "v:v a:a l:l a:a m:m i:i :[/N] :[Nom]"}, {"lemma": "valami", "tag": "[/N|Pro][Nom]", "morphana": "valami[/N|Pro]=valami+[Nom]=", "readable": "valami[/N|Pro] + [Nom]", "twolevel": "v:v a:a l:l a:a m:m i:i :[/N|Pro] :[Nom]"}]	valami	[/N][Nom]			.	.
tolvaj	" "	.	[{"lemma": "tolvaj", "tag": "[/Adj|Attr][Nom]", "morphana": "tolvaj[/Adj|Attr]=tolvaj+[Nom]=", "readable": "tolvaj[/Adj|Attr] + [Nom]", "twolevel": "t:t o:o l:l v:v a:a j:j :[/Adj|Attr] :[Nom]"}, {"lemma": "tolvaj", "tag": "[/N][Nom]", "morphana": "tolvaj[/N]=tolvaj+[Nom]=", "readable": "tolvaj[/N] + [Nom]", "twolevel": "t:t o:o l:l v:v a:a j:j :[/N] :[Nom]"}]	tolvaj	[/N][Nom]			.	.
szomszédságába	" "	.	[{"lemma": "szomszédság", "tag": "[/N][Poss.3Sg][Ill]", "morphana": "szomszéd[/N]=szomszéd+ság[_Nz_Abstr/N]=ság+a[Poss.3Sg]=á+ba[Ill]=ba", "readable": "szomszéd[/N] + ság[_Nz_Abstr/N] + a[Poss.3Sg]=á + ba[Ill]", "twolevel": "s:s z:z o:o m:m s:s z:z é:é d:d :[/N] s:s á:á g:g :[_Nz_Abstr/N] á:a :[Poss.3Sg] b:b a:a :[Ill]"}, {"lemma": "szomszédság", "tag": "[/N][Poss.3Sg][Ill]", "morphana": "szomszédság[/N]=szomszédság+a[Poss.3Sg]=á+ba[Ill]=ba", "readable": "szomszédság[/N] + a[Poss.3Sg]=á + ba[Ill]", "twolevel": "s:s z:z o:o m:m s:s z:z é:é d:d s:s á:á g:g :[/N] á:a :[Poss.3Sg] b:b a:a :[Ill]"}]	szomszédság	[/N][Poss.3Sg][Ill]			.	.
került	" "	.	[{"lemma": "kerül", "tag": "[/V][Pst.NDef.3Sg]", "morphana": "kerül[/V]=kerül+t[Pst.NDef.3Sg]=t", "readable": "kerül[/V] + t[Pst.NDef.3Sg]", "twolevel": "k:k e:e r:r ü:ü l:l :[/V] t:t :[Pst.NDef.3Sg]"}, {"lemma": "került", "tag": "[/Adj][Nom]", "morphana": "kerül[/V]=kerül+t[_PerfPtcp/Adj]=t+[Nom]=", "readable": "kerül[/V] + t[_PerfPtcp/Adj] + [Nom]", "twolevel": "k:k e:e r:r ü:ü l:l :[/V] t:t :[_PerfPtcp/Adj] :[Nom]"}]	kerül	[/V][Pst.NDef.3Sg]			.	.
-	" "	.	[{"lemma": "-", "tag": "[Hyph:Hyph]", "morphana": "-[Hyph:Hyph]=-", "readable": "-[Hyph:Hyph]", "twolevel": "-:- :[Hyph:Hyph]"}, {"lemma": "-", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	-	[Punct]			.	.
